filename,ch1峰峰值,label,delta,ch1归一化峰峰值,target归一化峰峰值,vth,target_vth,delta_vth
14_034,2.44518766,0,-1.0548123399999998,0.3889739638083774,0.5567704958576271,-0.7302588905504083,-0.03183496345478824,0.6984239270956201
14_007,4.523969,1,1.023969,0.7196605575400096,0.5567704958576271,0.7967625175812262,-0.03183496345478824,-0.8285974810360144
14_182,4.57,1,1.0700000000000005,0.7269830374483874,0.5567704958576271,0.8504716186501204,-0.03183496345478824,-0.8823065821049086
14_087,3.6054374,1,0.1054374,0.573543176075124,0.5567704958576271,0.039553011965690416,-0.03183496345478824,-0.07138797542047866
14_156,4.24,1,0.7400000000000002,0.6744875806960968,0.5567704958576271,0.5172280557564332,-0.03183496345478824,-0.5490630192112214
14_179,3.62,1,0.1200000000000001,0.57585975285846,0.5567704958576271,0.04950926338770139,-0.03183496345478824,-0.08134422684248963
14_195,4.76,1,1.2599999999999998,0.7572076943663728,0.5567704958576271,1.107201616074614,-0.03183496345478824,-1.1390365795294024
14_105,4.5770004,1,1.0770004000000002,0.7280966410709593,0.5567704958576271,0.8589140886102031,-0.03183496345478824,-0.8907490520649913
14_010,4.0085316,1,0.5085316000000004,0.6376662492363336,0.5567704958576271,0.328938063684895,-0.03183496345478824,-0.36077302713968323
14_234,4.57,1,1.0700000000000005,0.7269830374483874,0.5567704958576271,0.8504716186501204,-0.03183496345478824,-0.8823065821049086
14_231,5.0,1,1.5,0.7953862083680387,0.5567704958576271,1.4325709902638173,-0.03183496345478824,-1.4644059537186056
14_213,4.47,1,0.9699999999999998,0.7110753232810266,0.5567704958576271,0.7374369083278351,-0.03183496345478824,-0.7692718717826234
14_237,5.02,1,1.5199999999999996,0.7985677512015108,0.5567704958576271,1.4536535060224829,-0.03183496345478824,-1.4854884694772712
14_174,4.92,1,1.42,0.7826600370341501,0.5567704958576271,1.337367361744545,-0.03183496345478824,-1.3692023251993333
14_067,4.5521252,1,1.0521252,0.7241395653564,0.5567704958576271,0.8292505138963914,-0.03183496345478824,-0.8610854773511796
14_222,1.92,0,-1.58,0.3054286120133269,0.5567704958576271,-1.10222990820503,-0.03183496345478824,1.0703949447502417
14_219,3.94,1,0.4399999999999999,0.6267644381940144,0.5567704958576271,0.2771206500908426,-0.03183496345478824,-0.30895561354563084
14_016,5.2295312,1,1.7295312000000005,0.8318993755889519,0.5567704958576271,1.6237148629062217,-0.03183496345478824,-1.65554982636101
14_183,3.8,1,0.2999999999999998,0.6044936383597094,0.5567704958576271,0.1751088042131548,-0.03183496345478824,-0.20694376766794303
14_025,4.5728752,1,1.0728752000000004,0.7274404160461274,0.5567704958576271,0.8539300089034084,-0.03183496345478824,-0.8857649723581966
14_121,1.5255312,0,-1.9744688,0.2426776428299088,0.5567704958576271,-1.4092481725098416,-0.03183496345478824,1.3774132090550533
14_020,2.75099996,0,-0.7490000399999999,0.4376217103810093,0.5567704958576271,-0.5252326915734635,-0.03183496345478824,0.49339772811867527
14_113,3.5271252,1,0.0271251999999999,0.5610854951409521,0.5567704958576271,-0.01357668871169622,-0.03183496345478824,-0.018258274743092023
14_068,3.3491252,0,-0.1508747999999999,0.5327697639230499,0.5567704958576271,-0.13234547153095388,-0.03183496345478824,0.10051050807616564
14_221,1.51,0,-1.99,0.2402069839271476,0.5567704958576271,-1.4220379350776395,-0.03183496345478824,1.3902029716228512
14_157,4.47,1,0.9699999999999998,0.7110753232810266,0.5567704958576271,0.7374369083278351,-0.03183496345478824,-0.7692718717826234
14_200,4.69,1,1.1900000000000004,0.7460722944492204,0.5567704958576271,1.0061708005200485,-0.03183496345478824,-1.0380057639748368
14_011,3.5326876,1,0.0326876,0.5619703458337972,0.5567704958576271,-0.009824038179579905,-0.03183496345478824,-0.022010925275208336
14_031,4.7939378,1,1.2939378,0.7626064225850634,0.5567704958576271,1.1577435547907826,-0.03183496345478824,-1.189578518245571
